Time (seconds),time_ms,value,label
100.39,99185,0,medium
100.52,99314,26,medium
100.63,99422,15,medium
100.73,99529,0,medium
100.84,99633,0,medium
100.94,99737,0,medium
101.05,99842,7,medium
101.15,99949,0,medium
101.26,100053,0,medium
101.36,100157,0,medium
101.47,100261,0,medium
101.57,100365,0,medium
101.79,100589,0,medium
101.91,100705,0,medium
102.01,100809,0,medium
102.12,100913,0,medium
102.22,101018,0,medium
102.33,101125,0,medium
102.43,101229,33,medium
102.54,101333,0,medium
102.64,101438,0,medium
102.75,101545,65,medium
102.85,101649,28,medium
102.97,101761,52,medium
103.08,101877,13,medium
103.19,101981,0,medium
103.29,102086,0,medium
103.40,102193,0,medium
103.50,102297,0,medium
103.61,102402,0,medium
103.71,102509,0,medium
103.82,102613,81,medium
103.93,102721,4,medium
104.03,102825,21,medium
104.16,102953,45,medium
104.26,103057,35,medium
104.37,103161,17,medium
104.47,103267,0,medium
104.58,103374,17,medium
104.69,103481,0,medium
104.79,103585,11,medium
104.89,103689,15,medium
105.00,103793,23,medium
105.11,103901,40,medium
105.21,104009,35,medium
105.34,104137,35,medium
105.45,104241,36,medium
105.55,104346,50,medium
105.66,104453,17,medium
105.76,104557,7,medium
105.87,104661,0,medium
105.97,104765,0,medium
106.07,104869,0,medium
106.18,104973,0,medium
106.28,105079,0,medium
106.39,105185,0,medium
106.52,105313,0,medium
106.62,105417,0,medium
106.73,105522,0,medium
106.83,105629,0,medium
106.94,105733,112,medium
107.04,105837,89,medium
107.15,105941,125,medium
107.25,106045,43,medium
107.36,106154,155,medium
107.47,106261,88,medium
107.57,106365,162,medium
107.69,106489,57,medium
107.80,106593,23,medium
107.90,106697,118,medium
108.01,106801,77,medium
108.11,106905,129,medium
108.21,107010,68,medium
108.32,107117,61,medium
108.43,107221,13,medium
108.53,107325,90,medium
108.63,107429,175,medium
108.76,107557,63,medium
108.87,107661,73,medium
108.97,107765,39,medium
109.07,107870,28,medium
109.18,107978,0,medium
109.29,108085,98,medium
109.39,108189,80,medium
109.50,108293,36,medium
109.60,108397,13,medium
109.71,108501,98,medium
109.81,108605,52,medium
109.94,108733,24,medium
110.04,108837,159,medium
110.15,108942,31,medium
110.25,109049,24,medium
110.36,109153,13,medium
110.46,109257,144,medium
110.57,109361,67,medium
110.67,109465,64,medium
110.78,109574,13,medium
110.89,109681,19,medium
110.99,109785,35,medium
111.12,109913,7,medium
111.22,110017,28,medium
111.33,110121,45,medium
111.43,110225,0,medium
111.53,110329,7,medium
111.64,110433,0,medium
111.74,110538,56,medium
111.85,110645,0,medium
111.95,110750,0,medium
112.06,110858,0,medium
112.17,110965,0,medium
112.29,111089,0,medium
112.40,111193,0,medium
112.50,111297,0,medium
112.61,111401,0,medium
112.71,111505,0,medium
112.81,111609,0,medium
112.92,111713,0,medium
113.02,111817,0,medium
113.13,111925,0,medium
113.23,112029,0,medium
113.34,112133,0,medium
113.46,112257,0,medium
113.57,112362,0,medium
113.67,112469,0,medium
113.78,112573,0,medium
113.88,112678,7,medium
113.99,112785,75,medium
114.09,112889,13,medium
114.20,112993,17,medium
114.30,113097,0,medium
114.41,113201,59,medium
114.51,113305,49,medium
114.63,113429,0,medium
114.74,113534,0,medium
114.85,113641,56,medium
114.95,113745,28,medium
115.05,113849,0,medium
115.16,113953,21,medium
115.26,114057,7,medium
115.37,114162,0,medium
115.47,114269,98,medium
115.58,114373,0,medium
115.68,114477,0,medium
115.81,114602,0,medium
115.91,114710,0,medium
116.02,114817,0,medium
116.13,114921,0,medium
116.23,115025,1,medium
116.33,115129,0,medium
116.44,115233,0,medium
116.54,115338,0,medium
116.65,115445,0,medium
116.75,115550,0,medium
116.86,115657,0,medium
116.99,115781,0,medium
117.09,115886,0,medium
117.20,115993,0,medium
117.30,116097,0,medium
117.41,116201,0,medium
117.51,116305,0,medium
117.61,116409,0,medium
117.72,116514,0,medium
117.83,116621,0,medium
117.93,116725,0,medium
118.03,116829,0,medium
118.16,116953,0,medium
118.26,117057,0,medium
118.37,117161,0,medium
118.47,117265,0,medium
118.57,117370,0,medium
